NO_OF_FRAMES	2308
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:26:18	4784.01216723
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Hand left	Hand top	Shoulder	Hand right	Back left	Elbow	Back right	Back top	Index	Middle	Thumb
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Hand left X	Hand left Y	Hand left Z	Hand top X	Hand top Y	Hand top Z	Shoulder X	Shoulder Y	Shoulder Z	Hand right X	Hand right Y	Hand right Z	Back left X	Back left Y	Back left Z	Elbow X	Elbow Y	Elbow Z	Back right X	Back right Y	Back right Z	Back top X	Back top Y	Back top Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Thumb X	Thumb Y	Thumb Z	
1449	24.13333	514.761	-777.417	192.598	606.255	-743.387	191.084	453.785	-197.913	-117.990	421.855	-234.259	-108.802	480.856	64.520	69.330	429.177	-194.213	-139.018	750.137	129.092	118.801	445.053	23.260	-131.437	723.152	135.780	115.412	712.543	128.396	171.673	421.729	-341.352	-101.524	405.918	-340.651	-123.672	493.133	-314.960	-121.220
1450	24.15000	514.859	-777.319	192.664	606.245	-743.406	191.058	457.384	-209.212	-93.901	426.623	-245.400	-80.904	480.089	58.822	69.634	432.294	-207.843	-114.596	750.098	129.941	118.689	442.214	9.133	-126.342	722.894	136.544	115.390	712.526	129.046	171.665	428.676	-351.314	-64.021	413.000	-353.173	-86.094	500.420	-324.704	-86.595
1451	24.16667	514.757	-777.450	192.576	606.231	-743.415	191.049	460.993	-220.204	-69.954	431.532	-255.933	-53.216	479.765	52.746	70.045	435.452	-221.246	-90.073	750.027	130.870	118.558	439.394	-6.187	-120.595	722.818	137.319	115.316	712.782	129.706	171.630	435.929	-359.852	-27.532	420.354	-364.071	-48.613	508.056	-333.084	-53.107
1452	24.18333	514.752	-777.473	192.595	606.246	-743.415	191.065	464.584	-230.404	-46.229	436.597	-265.559	-26.000	479.718	46.339	70.918	438.780	-234.020	-65.740	750.061	131.872	118.333	436.654	-22.635	-114.054	722.777	138.199	115.191	712.813	130.534	171.522	443.178	-366.585	8.517	427.454	-373.002	-11.471	515.783	-340.484	-20.829
1453	24.20000	514.844	-777.399	192.584	606.256	-743.397	191.069	468.951	-241.124	-23.833	441.766	-274.243	0.455	479.798	39.716	72.148	442.282	-246.205	-41.868	750.103	132.867	118.068	434.060	-39.954	-106.465	722.783	139.102	115.058	713.207	131.371	171.402	450.262	-371.599	43.443	434.183	-379.896	24.935	523.089	-346.853	9.861
1454	24.21667	514.749	-777.451	192.590	606.236	-743.420	191.052	472.976	-251.045	-1.614	446.881	-282.553	26.051	479.902	33.014	73.847	445.917	-257.704	-18.462	750.116	133.919	117.870	431.877	-57.604	-97.783	722.771	140.044	114.919	713.393	132.209	171.295	456.700	-375.727	76.173	440.539	-385.552	59.399	530.335	-352.548	39.184
1455	24.23333	514.757	-777.414	192.607	606.253	-743.399	191.072	476.823	-260.985	20.369	451.639	-290.981	50.416	480.031	26.413	75.995	449.486	-268.829	4.576	750.168	134.960	117.649	430.135	-75.282	-87.999	722.772	140.979	114.820	713.627	133.110	171.205	462.128	-380.296	106.010	445.829	-391.136	91.120	537.641	-357.944	66.876
1456	24.25000	514.762	-777.452	192.585	606.237	-743.416	191.049	480.434	-271.163	42.143	456.099	-300.262	73.796	480.262	20.214	78.533	452.806	-279.781	27.218	750.221	136.053	117.314	428.886	-92.646	-77.270	722.830	141.872	114.642	713.828	134.066	170.954	466.559	-386.865	132.855	449.866	-397.659	119.664	545.045	-363.662	92.483
1457	24.26667	514.771	-777.456	192.576	606.258	-743.397	191.062	483.837	-281.636	63.676	460.234	-310.332	96.310	480.620	14.353	81.537	456.093	-290.762	49.354	750.225	137.006	117.239	428.186	-109.714	-65.513	722.799	142.799	114.539	713.989	135.023	170.867	470.117	-395.166	157.463	453.724	-405.988	145.564	552.338	-370.245	116.148
1458	24.28333	514.828	-777.374	192.606	606.241	-743.430	191.061	487.064	-292.404	84.898	464.131	-321.260	117.837	481.042	8.660	85.024	459.149	-301.752	70.905	750.156	138.067	117.020	428.037	-126.259	-52.823	722.658	143.756	114.367	714.048	135.936	170.732	472.684	-404.681	180.324	456.869	-415.965	168.854	559.542	-377.721	137.971
