NO_OF_FRAMES	2734
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:51:16	6281.31358754
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Back top	Back right	Back left	Box back	Box left
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1536	25.58333	440.945	245.112	155.864	387.115	239.652	-69.564	338.326	91.376	-398.480	344.508	127.838	-363.530	354.814	98.547	-351.195	428.051	41.311	-427.533	372.088	50.462	-489.834	375.361	76.389	-507.855	675.260	264.418	224.621	677.723	278.336	168.869	702.424	265.315	166.472	420.907	-798.608	193.176	513.968	-756.948	182.766
1537	25.60000	440.161	243.917	155.920	386.320	238.813	-69.731	337.910	89.555	-398.368	343.874	126.110	-363.470	354.340	96.887	-350.988	427.266	41.717	-429.836	371.855	48.665	-489.431	375.105	74.546	-507.596	674.477	263.981	224.439	676.900	277.919	168.661	701.714	265.106	166.331	420.913	-798.591	193.170	513.995	-756.906	182.789
1538	25.61667	439.340	242.637	155.830	385.423	238.058	-69.918	337.439	87.612	-398.081	343.221	124.273	-363.254	353.826	95.099	-350.715	426.600	41.778	-431.201	371.756	46.937	-489.007	374.834	72.651	-507.134	673.641	263.470	224.270	675.993	277.513	168.484	700.885	264.876	166.172	420.751	-798.807	193.050	513.969	-756.945	182.764
1539	25.63333	438.448	241.315	155.895	384.332	237.249	-70.009	336.959	85.605	-397.650	342.626	122.353	-362.903	353.331	93.285	-350.369	426.194	41.139	-431.755	371.376	45.227	-488.559	374.363	70.774	-506.666	672.818	262.931	224.095	675.049	277.101	168.386	700.027	264.637	165.965	420.875	-798.651	193.142	513.969	-756.951	182.751
1540	25.65000	437.587	239.991	155.943	382.943	236.233	-69.939	336.471	83.387	-396.934	342.068	120.253	-362.308	352.934	91.204	-349.645	425.827	39.834	-431.904	370.710	43.283	-487.723	373.586	68.650	-506.049	671.956	262.438	223.923	674.107	276.707	168.257	699.209	264.430	165.818	420.880	-798.640	193.137	513.976	-756.936	182.775
1541	25.66667	436.550	238.432	156.214	381.336	235.109	-69.720	335.926	80.706	-395.851	341.565	117.766	-361.418	352.513	88.792	-348.684	425.601	38.000	-431.321	370.208	40.934	-486.692	372.680	66.152	-504.987	670.962	261.991	223.789	673.043	276.246	168.100	698.263	264.223	165.735	420.742	-798.869	193.038	513.984	-756.913	182.761
1542	25.68333	435.484	236.557	156.459	379.647	234.135	-69.417	335.133	77.229	-394.063	340.828	114.582	-359.927	351.686	86.295	-348.164	425.617	35.388	-429.913	369.439	37.678	-484.996	371.923	62.711	-503.139	669.761	261.503	223.686	671.664	275.689	167.996	697.075	264.050	165.666	420.913	-798.602	193.155	513.952	-756.952	182.744
1543	25.70000	434.225	234.428	157.034	377.837	233.382	-68.825	334.027	72.760	-391.271	339.878	110.520	-357.681	350.899	82.503	-345.851	425.453	31.496	-427.384	367.754	32.912	-482.011	370.601	57.734	-500.341	668.228	260.890	223.725	670.013	275.126	167.976	695.686	263.942	165.766	420.887	-798.670	193.129	513.961	-756.931	182.747
1544	25.71667	433.015	232.220	157.823	375.994	232.638	-67.873	332.583	67.080	-387.269	338.828	105.446	-354.417	349.936	77.771	-342.487	424.851	25.748	-423.504	365.762	26.431	-477.958	368.503	50.750	-496.188	666.783	260.240	223.701	668.537	274.687	168.089	694.348	263.869	165.854	420.909	-798.591	193.167	513.968	-756.932	182.743
1545	25.73333	431.813	230.098	158.812	373.972	231.744	-66.477	330.965	59.871	-381.991	337.669	99.066	-350.162	348.914	71.836	-337.921	423.861	17.513	-417.502	363.258	17.754	-472.236	366.140	41.578	-490.906	665.482	259.697	223.754	667.040	274.244	168.117	693.077	263.853	165.904	420.903	-798.586	193.176	513.977	-756.914	182.751
